"Response","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"OGA.BWD_LF.Phase",2.21454040522858,1.10727020261429,2,167.374651762812,0.398496131190465,0.671964096588495
"OGA.BWD_LF.Group",5.53294211058982,5.53294211058982,1,38.1922517408941,1.99125382401254,0.166304387932657
"OGA.BWD_LF.Phase:Group",17.7391769501674,8.86958847508371,2,167.374651763064,3.19208146686091,0.0435995335618908
"OGA.BWD_LH.Phase",1.56090520942153,0.780452604710767,2,166.580064604797,0.409904482627128,0.664381248017616
"OGA.BWD_LH.Group",2.59312217503302,2.59312217503302,1,37.6070903739324,1.36194356598984,0.250547734804832
"OGA.BWD_LH.Phase:Group",3.45884927661183,1.72942463830592,2,166.580064603455,0.908317695819734,0.405189430068027
"OGA.BWD_RF.Phase",0.298603583032243,0.149301791516122,2,166.200731313044,0.0398794489169723,0.960914462322098
"OGA.BWD_RF.Group",0.0164546236030566,0.0164546236030566,1,37.4495006231142,0.00439513360665365,0.94749499185026
"OGA.BWD_RF.Phase:Group",2.81789872106875,1.40894936053438,2,166.200731318644,0.376339248708642,0.686952834701926
"OGA.BWD_RH.Phase",6.62387001561929,3.31193500780965,2,166.732949735225,1.24972823594646,0.289252979660829
"OGA.BWD_RH.Group",0.262294723751476,0.262294723751476,1,36.8274927059749,0.0989745033157474,0.754839272786561
"OGA.BWD_RH.Phase:Group",17.8230483275453,8.91152416377267,2,166.732949734448,3.36268173938332,0.0370075552706927
"OGA.BWD_AL.Phase",11.7582699732846,5.87913498664228,2,166.618259445827,2.08886617135532,0.127058448625332
"OGA.BWD_AL.Group",12.3569433594248,12.3569433594248,1,38.0224966567656,4.39044196527252,0.0428540655690654
"OGA.BWD_AL.Phase:Group",1.65465537459672,0.827327687298358,2,166.61825944534,0.293950865654503,0.745698818368893
"OGA.PVF_LF.Phase",210.809904126563,105.404952063281,2,166.817482543434,0.435855892924597,0.647445244816202
"OGA.PVF_LF.Group",444.579345474953,444.579345474953,1,37.1945989698594,1.83836265568894,0.1833183598272
"OGA.PVF_LF.Phase:Group",76.8939188961057,38.4469594480528,2,166.81748254984,0.158980517636461,0.853142064760604
"OGA.PVF_LH.Phase",59.6478277920736,29.8239138960368,2,166.873977228903,0.270751534837731,0.763140448247738
"OGA.PVF_LH.Group",0.225052567448228,0.225052567448228,1,37.1384972872444,0.00204310300345512,0.96418951330352
"OGA.PVF_LH.Phase:Group",178.871258931889,89.4356294659445,2,166.873977222064,0.811926765598023,0.445747883148876
"OGA.PVF_RF.Phase",88.0587797275167,44.0293898637583,2,166.147428808311,0.189504182966078,0.827547835031855
"OGA.PVF_RF.Group",71.3745906545751,71.3745906545751,1,36.9712446729824,0.307198976147224,0.582741487314742
"OGA.PVF_RF.Phase:Group",31.8264527618865,15.9132263809432,2,166.147428800853,0.0684911367840033,0.933828087565697
"OGA.PVF_RH.Phase",160.970911140054,80.4854555700269,2,166.232554560188,0.752266129551026,0.472894840822775
"OGA.PVF_RH.Group",29.1137085866116,29.1137085866116,1,36.545668062798,0.272114467393074,0.605064179693335
"OGA.PVF_RH.Phase:Group",533.142481930331,266.571240965165,2,166.232554561427,2.49153731280063,0.0858697726940102
"OGA.PVF_AL.Phase",365.328592038847,182.664296019424,2,165.886275683691,1.47680636191878,0.231352429177888
"OGA.PVF_AL.Group",83.4980578423581,83.4980578423581,1,36.7895890512948,0.675066040362615,0.416583914256639
"OGA.PVF_AL.Phase:Group",185.275094848832,92.6375474244161,2,165.886275687967,0.748957088879499,0.474451511690213
"OGA.VI_LF.Phase",5.22353360829561,2.6117668041478,2,163.240805960733,0.244450813216406,0.783420663962289
"OGA.VI_LF.Group",46.8788316813471,46.8788316813471,1,33.4415539547588,4.38766910925629,0.043852753956417
"OGA.VI_LF.Phase:Group",2.0111347804014,1.0055673902007,2,163.240805956427,0.0941170421065472,0.910225579815204
"OGA.VI_LH.Phase",0.226236755016789,0.113118377508395,2,165.78205756343,0.0384780997550444,0.96226136913454
"OGA.VI_LH.Group",0.387234709779484,0.387234709779484,1,36.0744887301008,0.131720911488541,0.718772347789513
"OGA.VI_LH.Phase:Group",1.27460864315939,0.637304321579695,2,165.782057558576,0.216784043408372,0.805331681137442
"OGA.VI_RF.Phase",10.9123228898989,5.45616144494945,2,159.61334026248,0.479013990680857,0.620281325417251
"OGA.VI_RF.Group",52.4623395175316,52.4623395175316,1,30.1874679829216,4.60583779756167,0.0400208144678743
"OGA.VI_RF.Phase:Group",3.61364070958892,1.80682035479446,2,159.613340262045,0.15862657975318,0.853449298766526
"OGA.VI_RH.Phase",5.76889793299689,2.88444896649845,2,165.431462258882,0.713957089894244,0.491205128149826
"OGA.VI_RH.Group",3.23200732526919,3.23200732526919,1,34.9640335888948,0.799984527813387,0.377213938644727
"OGA.VI_RH.Phase:Group",5.73612839020968,2.86806419510484,2,165.431462267043,0.709901541039461,0.49318421114143
"OGA.VI_AL.Phase",1.97257890977619,0.986289454888094,2,166.368454156484,0.265348731221794,0.767262409098309
"OGA.VI_AL.Group",0.763410649108322,0.763410649108322,1,37.3872827858006,0.205386001176585,0.653027485289988
"OGA.VI_AL.Phase:Group",0.775013488375225,0.387506744187613,2,166.368454153572,0.104253799328857,0.901055410980795
"SOS.Phase",4.2644309719298,2.1322154859649,2,166.999605964416,1.51921012405298,0.221894082947909
"SOS.Group",0.783019290709749,0.783019290709749,1,38.3311820537991,0.557903664805582,0.459663467724767
"SOS.Phase:Group",0.0408831236320545,0.0204415618160272,2,166.999605970694,0.0145646759751911,0.985542127583754
"CSOM.ACT(MEAN).Phase",1.65201519382752,0.82600759691376,2,167.381180361829,4.34988215812931,0.0143988293435929
"CSOM.ACT(MEAN).Group",0.447473746931606,0.447473746931606,1,37.8185516528658,2.35646509218762,0.133089253850407
"CSOM.ACT(MEAN).Phase:Group",0.24578226944085,0.122891134720425,2,167.381180362697,0.647163484101047,0.524833550797446
"CSOM.BEHAV(MEAN).Phase",3.75470464974175,1.87735232487088,2,166.749929210979,7.3342621111996,0.000885439303093956
"CSOM.BEHAV(MEAN).Group",0.163404168393309,0.163404168393309,1,37.2119050239365,0.638371916225984,0.429371364581734
"CSOM.BEHAV(MEAN).Phase:Group",0.0346290995055498,0.0173145497527749,2,166.749929206417,0.0676428417521424,0.934619843401819
"CBPI.PSS.Phase",8.45322707076706,4.22661353538353,2,167.121558215257,5.13473139839836,0.0068524559615141
"CBPI.PSS.Group",1.36874594002769,1.36874594002769,1,37.597045470648,1.6628307026071,0.205098209146818
"CBPI.PSS.Phase:Group",0.948644424324568,0.474322212162284,2,167.121558214899,0.576233699948733,0.563123711755617
"CBPI.PIS.Phase",12.962952433057,6.4814762165285,2,166.482583821998,7.86405958684218,0.000545153507843612
"CBPI.PIS.Group",1.29285752677233,1.29285752677233,1,37.48641953068,1.568640891084,0.218162067140755
"CBPI.PIS.Phase:Group",1.65108317592598,0.825541587962989,2,166.482583826741,1.00164037053806,0.36947879630977
"CBPI.QOL.Phase",3.0153280310987,1.50766401554935,2,168.347869865607,8.06888367539515,0.000450474987633068
"CBPI.QOL.Group",0.239155892628385,0.239155892628385,1,38.6783582304257,1.27994105981272,0.264876031959553
"CBPI.QOL.Phase:Group",0.495573511079275,0.247786755539638,2,168.347869865644,1.32613267023184,0.268261046767134
